epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,5044.95,0.91846,1.25151,1.43014,0.81638,0,0.42228,0.43059,0.37301,0.28299,0.41047,0.4181,0.3549,0.17624,0.74337,1.02941,1.51979,0.80343,0,0.0001733,0.0001733,0.0001733
68,5118.52,0.90119,1.23607,1.38669,0.81673,0,0.43254,0.43327,0.37476,0.28125,0.42189,0.42075,0.3588,0.17081,0.75972,1.03366,1.51722,0.80438,0,0.00016835,0.00016835,0.00016835
69,5192.75,0.89707,1.23423,1.39698,0.81593,0,0.44237,0.42538,0.37959,0.28843,0.42817,0.41369,0.36232,0.18,0.73814,1.01299,1.49132,0.80341,0,0.0001634,0.0001634,0.0001634
70,5266.62,0.89743,1.23034,1.37513,0.81556,0,0.43436,0.43042,0.37214,0.28142,0.42583,0.41584,0.35477,0.17403,0.75837,1.06231,1.52,0.80392,0,0.00015845,0.00015845,0.00015845
71,5341.15,0.88329,1.21135,1.36669,0.81474,0,0.49689,0.4201,0.37037,0.27693,0.48388,0.40427,0.34932,0.16579,0.76017,1.06634,1.53086,0.80474,0,0.0001535,0.0001535,0.0001535
72,5416.88,0.89565,1.22566,1.38066,0.81567,0,0.44917,0.41388,0.37371,0.28353,0.44041,0.40396,0.35917,0.17738,0.73133,1.01743,1.46838,0.80253,0,0.00014855,0.00014855,0.00014855
73,5489.71,0.89685,1.22062,1.36971,0.81477,0,0.46257,0.42381,0.3793,0.28866,0.45421,0.40649,0.36021,0.17614,0.74562,1.03706,1.46374,0.80367,0,0.0001436,0.0001436,0.0001436
74,5563.62,0.89033,1.21731,1.37035,0.81499,0,0.42535,0.42291,0.37107,0.28116,0.41317,0.40966,0.35294,0.17466,0.73814,1.02376,1.51161,0.80178,0,0.00013865,0.00013865,0.00013865
75,5639.72,0.89852,1.22404,1.36058,0.81421,0,0.48992,0.42256,0.37546,0.28336,0.48009,0.4096,0.35652,0.17587,0.75103,1.03699,1.48618,0.80458,0,0.0001337,0.0001337,0.0001337
76,5714.51,0.89303,1.21522,1.36613,0.81603,0,0.51144,0.41958,0.36837,0.27764,0.49988,0.40663,0.35099,0.17312,0.74294,1.05476,1.50986,0.80333,0,0.00012875,0.00012875,0.00012875
77,5790.65,0.89501,1.22761,1.35744,0.81365,0,0.45967,0.42302,0.3746,0.28235,0.45617,0.40891,0.35833,0.17549,0.75213,1.03985,1.51251,0.80407,0,0.0001238,0.0001238,0.0001238
78,5865.11,0.89274,1.22206,1.39018,0.81445,0,0.4241,0.42657,0.37355,0.28221,0.41522,0.40967,0.35479,0.1732,0.74891,1.03304,1.47264,0.80402,0,0.00011885,0.00011885,0.00011885
79,5938.69,0.88585,1.20478,1.36145,0.81424,0,0.44991,0.41575,0.37394,0.28212,0.43882,0.39977,0.35247,0.16992,0.75794,1.05722,1.49353,0.80474,0,0.0001139,0.0001139,0.0001139
80,6013.77,0.89683,1.2268,1.36308,0.81394,0,0.4883,0.41699,0.37234,0.28138,0.48408,0.4016,0.35352,0.17297,0.73577,1.01851,1.50263,0.8028,0,0.00010895,0.00010895,0.00010895
81,6088,0.87968,1.19813,1.35563,0.81504,0,0.42797,0.4244,0.37291,0.28309,0.49856,0.40447,0.35392,0.17405,0.74151,1.03337,1.54436,0.80215,0,0.000104,0.000104,0.000104
82,6161.41,0.87483,1.18296,1.37727,0.81303,0,0.50612,0.41741,0.37208,0.27951,0.49706,0.40363,0.35321,0.17013,0.75468,1.06848,1.51641,0.80242,0,9.905e-05,9.905e-05,9.905e-05
83,6235.89,0.88793,1.19652,1.3599,0.81394,0,0.5218,0.40727,0.37309,0.28417,0.51058,0.39567,0.35589,0.17665,0.73627,1.03639,1.49059,0.8029,0,9.41e-05,9.41e-05,9.41e-05
84,6309.99,0.88672,1.20998,1.34269,0.81458,0,0.50506,0.42322,0.36677,0.27964,0.49606,0.40947,0.34934,0.17457,0.73432,1.03145,1.54141,0.80219,0,8.915e-05,8.915e-05,8.915e-05
