epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,40912.6,0.7365,1.01196,1.11443,0.873,0,0.33254,0.23215,0.19513,0.10607,0.26294,0.17949,0.11484,0.03265,1.70187,1.82763,2.02689,0.79879,0,0.0004951,0.0004951,0.0004951
53,41659.3,0.73834,1.0115,1.11007,0.87301,0,0.34106,0.23005,0.19524,0.10701,0.25876,0.17804,0.11458,0.03275,1.69754,1.82911,2.02262,0.79871,0,0.0004852,0.0004852,0.0004852
54,42404.9,0.73542,1.01005,1.10707,0.87232,0,0.39197,0.23024,0.19496,0.10694,0.31833,0.18208,0.11487,0.03259,1.69362,1.8269,2.02018,0.79863,0,0.0004753,0.0004753,0.0004753
55,43151.4,0.73598,1.00909,1.10504,0.87251,0,0.33462,0.23211,0.19464,0.10654,0.26704,0.17599,0.11432,0.03223,1.69536,1.82472,2.02051,0.79856,0,0.0004654,0.0004654,0.0004654
56,43924.2,0.73566,1.0086,1.09963,0.87253,0,0.33691,0.23117,0.19459,0.10694,0.26271,0.17677,0.1138,0.03211,1.69122,1.82337,2.01858,0.79842,0,0.0004555,0.0004555,0.0004555
57,44673.3,0.73353,1.00751,1.09952,0.8725,0,0.33499,0.23799,0.19475,0.10612,0.24729,0.18295,0.11419,0.03251,1.69169,1.82355,2.02068,0.7984,0,0.0004456,0.0004456,0.0004456
58,45419.8,0.73084,1.00494,1.093,0.87165,0,0.33756,0.23592,0.19434,0.10577,0.25965,0.17673,0.11288,0.03193,1.69209,1.82417,2.023,0.79842,0,0.0004357,0.0004357,0.0004357
59,46166.2,0.73097,1.00225,1.09048,0.87114,0,0.33801,0.23596,0.19472,0.10586,0.25661,0.17709,0.11238,0.03202,1.69614,1.82825,2.02358,0.79863,0,0.0004258,0.0004258,0.0004258
60,46910.8,0.73137,1.00153,1.08864,0.87069,0,0.34709,0.23651,0.19496,0.10594,0.25433,0.17919,0.11235,0.03219,1.69578,1.82812,2.0251,0.79861,0,0.0004159,0.0004159,0.0004159
61,47653.4,0.73078,1.00052,1.08855,0.87047,0,0.34527,0.2335,0.19523,0.10656,0.26778,0.17794,0.11505,0.03308,1.69452,1.82937,2.02252,0.79837,0,0.000406,0.000406,0.000406
62,48401.1,0.72965,0.99978,1.08484,0.87112,0,0.40589,0.23504,0.19535,0.10713,0.3305,0.17806,0.1143,0.03299,1.68992,1.82469,2.01976,0.79806,0,0.0003961,0.0003961,0.0003961
63,49171,0.72792,0.99607,1.07783,0.87101,0,0.33697,0.23509,0.19588,0.10725,0.26501,0.17839,0.11507,0.03307,1.68564,1.82385,2.01569,0.79785,0,0.0003862,0.0003862,0.0003862
64,49913.6,0.7284,0.99829,1.07853,0.87072,0,0.34496,0.22926,0.19557,0.10744,0.25632,0.18062,0.11473,0.03317,1.68613,1.82394,2.01517,0.79793,0,0.0003763,0.0003763,0.0003763
